"","Description","Lot.Batch..","Category","Sub.Category","Strain.Name","Strain.Type","d9.THC..mg.g.","THCA..mg.g.","d8.THC..mg.g.","CBD..mg.g.","CBDA..mg.g.","CBDV..mg.g.","CBN..mg.g.","CBG..mg.g.","CBC..mg.g.","CBCA..mg.g.","CBGA..mg.g.","Total.THC.mg.g","Total.CBD.mg.g","Terpinolene....","Eudesmol....","α.Pinene....","β.Pinene....","Camphene....","Eucalyptol....","Isopulegol....","Menthol....","Borneol....","Trans.Beta.Ocimene....","Cis.Beta.Ocimene....","Geraniol....","Linalool....","Guaiol....","α.Bisabolol....","α.Terpinene....","Citronellol....","δ.3.Carene....","Cis.Nerolidol....","Trans.Nerolidol....","Limonene....","P.Cymene....","γ.Terpinene....","α.Terpineol....","ß.Myrcene....","CaryophylleneOxide....","α.Humulene....","ß.Caryophyllene....","total_cannabinoidsMg.g","total_terpsMg.g"
"59","Panama Red Cartridges","5C91745BB34D7","Concentrate","Cartridge","","",250.5,NA,NA,313,5.9,NA,6.5,7,13.5,NA,NA,250.5,318.174,1.7517,NA,0.4942,0.2022,0.0189,0.0111,NA,NA,0.0029,0.1245,1.4295,NA,0.0416,NA,NA,0.0602,0.0021,NA,NA,NA,1.1332,NA,0.0468,0.0181,3.6526,0.0037,0.5905,1.9592,596.4,11.543
"60","Paradise Punch Cartridges","5D02C4554CA62","Concentrate","Cartridge","Paradise Punch","Sativa",657.4,NA,NA,5.8,NA,NA,16.6,13.5,11.2,NA,NA,657.4,5.8,0.00229,NA,0.0171,0.0349,0.00461,NA,NA,NA,0.01,0.0221,0.114,NA,0.147,NA,0.0261,NA,NA,NA,NA,0.0195,0.093,NA,NA,0.0132,0.577,0.081,0.536,1.89,704.5,3.5878
"61","Pineapple Wonder Cartridges","5CC7291F8B83B-000001","Concentrate","Cartridge","Pineapple Wonder","Sativa",741.7,1.2,NA,3.6,NA,NA,5.2,8.8,14.8,NA,1.2,742.752,3.6,0.0077,0.0153,0.3285,0.1603,0.0155,NA,NA,NA,0.0287,0.0074,NA,NA,0.0715,0.0815,0.1703,NA,NA,NA,NA,NA,0.2836,NA,NA,0.0264,1.2078,0.0647,0.4163,1.2531,776.5,4.1386
"62","Purple Punch Cartridge","5C33FD5BED9E0","Concentrate","Cartridge","","",659.1,59.2,NA,2.3,NA,NA,7,6.3,5.7,6.1,4.8,711.018,2.3,0.0034,NA,0.0903,0.0771,0.0191,NA,NA,NA,0.0043,0.0035,0.0194,NA,0.1657,0.0645,0.09,NA,NA,NA,NA,0.0017,0.5343,NA,NA,0.0503,0.0678,NA,0.1774,0.5358,750.5,1.9046
"63","Serpentine Cartridges","5CCB2437C21C6-000001","Concentrate","Cartridge","Serpentine","CBD",185.6,50.8,NA,263.9,217.6,NA,2,2.7,7.2,21.6,6.4,230.152,454.735,0.0553,NA,0.1931,0.05,0.0239,0.0128,NA,NA,0.0158,0.0623,0.4477,NA,0.1582,NA,0.0058,0.0116,NA,NA,NA,NA,0.9577,NA,0.0091,0.0244,2.7267,0.0458,0.6508,1.7798,757.8,7.2308
"64","Sour Tangie Cartridge","5C4BA34D26726","Concentrate","Cartridge","","",588.8,61.3,NA,16.3,11.1,NA,6.2,2.7,4.2,5.1,2.4,642.56,26.0347,0.0042,NA,0.2091,0.0852,0.006,NA,NA,NA,NA,NA,NA,NA,0.0177,NA,0.0043,NA,NA,NA,NA,NA,0.1225,NA,NA,0.0031,0.6022,NA,1.2915,2.4235,698.1,4.7693
"65","Tincture Sweet Retreat 30ml","BBCDL181212","Edible","Tincture","","",1.294,11.392,NA,NA,NA,NA,NA,NA,NA,0.124,0.191,11.2848,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.001,0
"66","Trident Cartridge","5C53A225E21F8","Concentrate","Cartridge","","",141.2,30.3,NA,305.7,207.8,1,1.8,5.2,8.4,21.6,8.5,167.773,487.941,0.0135,NA,0.0559,0.0378,0.0151,0.0025,NA,NA,0.003,0.007,0.0183,NA,0.0676,NA,0.0044,0.0019,NA,NA,NA,NA,0.8056,NA,0.002,0.0433,0.3594,NA,0.8403,2.3958,731.5,4.6734
"67","Trident Tincture","5C412ECADC349","Concentrate","Orally Consumed Concentrate","Trident","CBD",2.88,NA,NA,5.99,3.79,NA,NA,NA,NA,NA,NA,2.88,9.31383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0136,NA,NA,NA,0.0069,NA,0.0026,0.0104,12.66,0.0335
"68","Valentine Tincture","5C67519800E6C","Concentrate","Orally Consumed Concentrate","","",0.63,NA,NA,8.1,3.84,NA,NA,0.21,0.2,0.24,0.19,0.63,11.4677,NA,NA,0.0109,0.0043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0032,NA,NA,NA,0.0223,NA,0.0018,0.0072,13.41,0.0497
"69","+ Lady Sativa Balanced Tincture w/ CBN 30 mL","LSLBW210823-TNT","Edible","Tincture","Lady Benbow","",5.236,0.478,NA,12.688,3.706,NA,5.652,0.137,0.251,0.231,0.136,5.65521,15.9382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.515,0
"70","99 Cookies Cartridge","5D163501B7536","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"71","99 Cookies Crystalline","CHM-RBL99C190501-FFSC","Concentrate","Crystalline","","",33.5,930.2,NA,NA,2.6,NA,NA,NA,NA,8.5,13.4,849.285,2.2802,0.00853,NA,0.0276,0.0263,0.00425,0.0355,NA,NA,NA,0.0035,NA,NA,0.0121,NA,0.00627,0.00294,NA,NA,NA,NA,0.229,NA,0.004,NA,0.0562,0.00282,0.357,1.2,988.2,1.97601
"72","99 Cookies FSC","PL 422 Label QC","Concentrate","Crystalline","","",45.3,833.7,NA,0.5,2.8,NA,0.6,1.9,1,7.8,14.5,776.455,2.9556,0.0135,NA,0.0324,0.0197,0.00659,0.0454,NA,NA,NA,0.00512,0.00753,NA,0.0169,NA,0.00884,0.00506,NA,NA,NA,NA,0.256,NA,0.00589,NA,0.0674,0.0348,0.53,1.78,908.1,2.83513
"73","AC/DC 30 mL CBD Tincture","FRFACD220429-TNT","Edible","Tincture","AC/DC","CBD",0.868,NA,NA,15.47,3.284,NA,NA,NA,0.495,0.166,NA,0.868,18.3501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.283,0
"74","AC/DC 500 mg Cartridge","FRFACD210910","Concentrate","Cartridge","AC/DC","CBD",25.792,NA,NA,607.558,92.471,NA,2.786,3.259,12.709,3.061,1.595,25.792,688.655,0.0483,0.010145,NA,NA,NA,0.00421,NA,NA,0.0015,0.0046,0.009,NA,0.0051,0.02381,0.03126,0.00421,NA,NA,NA,NA,0.0278,NA,0.00231,0.0022,0.03645,0.03431,0.58963,1.876,749.231,2.710835
"75","AC/DC 500 mg Cartridge","FRFACD210421","Concentrate","Cartridge","AC/DC","CBD",36.123,1.21,NA,566.803,100.528,NA,1.968,9.98,18.909,5.469,3.225,37.1842,654.966,0.0048,NA,NA,NA,NA,0.00192,NA,NA,0.00196,NA,NA,NA,0.0154,0.18042,0.30745,NA,NA,NA,NA,0.03696,0.0017,NA,NA,0.0017,NA,0.02419,0.48178,1.48939,744.215,2.54767
"76","AC/DC CBD 30 mL Tincture","FRFACD211203-TNT","Edible","Tincture","AC/DC","",0.9145,NA,NA,16.5483,2.2239,NA,0.0925,0.3607,0.6654,0.2191,0.0784,0.9145,18.4987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1028,0
"77","AC/DC CBD 30 mL Tincture","LMRACD210627-TNT","Edible","Tincture","AC/DC","CBD",0.641,0.121,NA,8.022,4.832,NA,0.037,0.067,0.538,0.734,0.076,0.747117,12.2597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.068,0
"78","AC/DC Tincture","5CB5070BD7073","Edible","Tincture","","",0.61,0.11,NA,6.95,4.24,NA,NA,NA,0.53,0.77,NA,0.70647,10.6685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.21,0
"79","AC/DC Tincture","5CB5070BD7073","Edible","Tincture","","",0.56,0.1,NA,6.93,4,NA,NA,NA,0.51,0.7,NA,0.6477,10.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,0
"80","AC/DC Tincture (30ml)","LMRACD190103","Edible","Tincture","AC/DC","",0.633,0.127,NA,7.727,4.798,NA,NA,0.049,0.539,0.762,0.063,0.744379,11.9348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.698,0
"81","Animal Cookies THC Tincture 30 mL","CFANC210802-TNT","Edible","Tincture","Animal Cookies","",28.512,1.14,NA,NA,NA,NA,0.469,NA,0.098,0.104,NA,29.5118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.323,0
"82","Athena 1 g CBD Cartridge","MMATA220917-1G","Concentrate","Cartridge","","CBD",194.204,21.843,NA,374.441,158.597,8.391,4.769,4.737,7.719,11.597,4.745,213.36,513.531,1.65429021,0.008419984,0.1890542,0.058111834,0.008434821,0.019767346,NA,NA,NA,0.03826271,0.370573634,NA,0.037568573,0.061199041,0.009014239,0.068486229,NA,NA,NA,0.019590169,0.225531091,0.032049958,0.055190859,0.024294362,0.811366264,NA,0.131991376,0.368298399,791.043,4.191495299
"83","Banana Kush Diamonds 1 g","SHFBNK210616-DIA","Concentrate","Crystalline","Banana Kush","",17.807,972.036,NA,NA,0.468,NA,NA,NA,NA,3.606,NA,870.283,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,993.917,0
"84","Banana Kush Diamonds 1 g","SHFBNK210305-DIA","Concentrate","Crystalline","Banana Kush","",13.9,974.9,NA,NA,NA,NA,NA,NA,NA,2.3,0.5,868.887,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,991.6,0
"85","Banjo 1 g Live Terp Cartridge","CSBNJ220513-1G","Concentrate","Cartridge","Banjo","",551.425,267.55,NA,0.747,NA,NA,2.401,7.743,3.214,6.653,7.674,786.066,0,0.010544661,0.089314492,0.178811625,0.10851801,0.020437571,0.010329606,NA,NA,0.02066117,0.011656521,0.104294171,NA,0.104172617,0.10163006,0.076981929,0.001874462,0.009068537,NA,NA,0.067515311,0.833469106,NA,0.003080842,0.075718495,1.167033661,0.007807667,0.194618912,0.844064922,847.407,4.041604348
"86","Birthday Cake 1 g Cartridge","MMBDC190702","Concentrate","Cartridge","Birthday Cake","Indica",681.321,35.294,NA,3.733,0.759,NA,8.093,15.693,10.093,6.793,7.405,712.274,4.39864,0.0682,NA,0.063,0.0154,0.00866,0.00504,NA,NA,NA,0.00597,0.0221,NA,0.239,NA,0.0392,0.00491,NA,0.00229,NA,0.00366,0.557,NA,0.00409,0.00385,0.441,0.00639,0.712,1.77,769.184,3.97176
"87","Birthday Cake Cartridge","5CF99C13F25A0","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"88","Blackberry Fire Crystalline","CHM-RCCBBF190605-PFSC","Concentrate","Crystalline","","",49.5,922,NA,NA,2.1,NA,1.1,1.5,1,7.7,6.8,858.094,1.8417,0.0426,NA,0.0565,0.0322,0.0059,0.00387,NA,NA,NA,0.00544,NA,NA,0.054,0.00694,0.00804,0.00335,NA,NA,NA,0.00569,0.1092,NA,0.00283,NA,0.264,NA,0.206,0.414,991.7,1.22056
"89","Blackberry Fire FSC","PL 430 Label QC","Concentrate","Crystalline","","",72.1,881.8,NA,NA,2.1,NA,0.8,2.3,0.8,6.4,6.6,845.439,1.8417,0.112,NA,0.142,0.0767,0.0132,0.00669,NA,NA,0.00515,0.0112,0.0597,NA,0.112,0.0156,0.0192,0.00833,NA,0.00419,NA,0.0135,0.251,NA,0.00619,0.00221,0.732,0.029,0.436,0.861,972.9,2.91686
"90","BLK-Label QC","Chemistry. Blue Kush Cart Label QC","Concentrate","Cartridge","","",754.2,28.8,NA,2.9,0.9,NA,7.5,8.9,5.3,3.6,4.8,779.458,3.6893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,816.9,0
"91","Blood Orange Kush Cartridge","5CCB188B47AC0-000001","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"92","Blue Kush Cartridge","CHM-RHBLK190517-T2C","Concentrate","Cartridge","","",800.9,30.6,NA,2.7,NA,NA,8.2,8.8,5.3,3.2,4.5,827.736,2.7,0.638,0.00168,0.333,0.0871,0.0218,0.0234,NA,NA,0.00684,0.0177,0.138,NA,0.102,0.00347,0.022,0.0368,NA,0.021,NA,0.0127,0.39,NA,0.0316,0.0124,1.53,0.0241,0.75,2.36,864.2,6.56359
"93","Cement Shoes Diamonds 1 g (Croft)","CFCMS201002-DIA","Concentrate","Crystalline","Cement Shoes","Indica",37.944,894.553,NA,NA,1.802,NA,1.088,NA,NA,14.208,4.025,822.467,1.58035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,953.62,0
"94","Censoredland Tincture","BFMH190227","Edible","Tincture","","",27.485,NA,NA,0.081,NA,NA,0.524,0.356,0.387,NA,0.251,27.485,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.084,0
"95","Charlie Girl Cartridge","5D16347583C67","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"96","Cherry Cheesecake 1 g Live Terp Cartridge","SHFCHC220304-1G","Concentrate","Cartridge","Cherry Cheesecake ","Indica",569.747,259.911,NA,0.78,0.959,NA,3.633,4.29,5.866,13.089,7.206,797.689,0.841043,0.068599878,NA,0.091439982,0.067237601,0.018185111,0.016694904,NA,NA,0.00551574,0.008673029,0.031045721,NA,0.050639594,NA,0.131502574,0.004809094,NA,NA,NA,0.108116171,1.090638307,NA,0.00541405,0.011032412,0.53249179,0.008174512,0.478759005,1.674652824,865.481,4.403622299
"97","Cherry Pie 500 mg Cartridge","TRNCHP211228-0.5G","Concentrate","Cartridge","Cherry Pie","",567.454,104.799,NA,3.428,2.995,NA,12.33,8.721,7.488,6.278,6.142,659.363,6.05462,NA,0.033469,0.21099,NA,NA,NA,NA,NA,0.04316,NA,0.183,NA,0.2754,NA,0.15129,NA,NA,NA,NA,0.19375,0.0998,NA,NA,0.0367,1.33094,0.08081,0.69367,1.94842,719.635,5.281399
"98","Cherry Punch 1 g Live Terp Cartridge","CSCYP220719-1G","Concentrate","Cartridge","Cherry Punch","Indica",475.247,327.708,NA,0.339,0.72,NA,1.914,5.065,3.438,7.471,2.79,762.647,0,0.033219601,NA,0.34334401,0.172015432,0.043208704,0.004125067,NA,NA,0.033940548,0.020503774,0.073578279,0.021962405,0.157296867,NA,0.912984839,0.005078418,0.016730679,NA,NA,0.119292556,1.781481024,NA,0.00604114,0.143575965,0.49137152,0.015699234,1.094246982,3.703783897,824.692,9.193480941
"99","Coyote Blue Cartridge","CHM-ALPCYB190613-CART","Concentrate","Cartridge","","",738.5,25,NA,2.7,NA,NA,9,15.5,6,4.2,9.5,760.425,2.7,0.0889,NA,0.0387,0.0273,0.00837,0.0155,NA,NA,0.0063,0.0159,0.109,NA,0.0844,NA,0.146,0.00749,NA,NA,NA,0.0112,0.251,NA,0.00681,0.0159,0.539,0.0354,1.24,4.16,810.4,6.80717
"100","CYB-Label QC","Chemistry. Coyote Blue Cart Label QC","Concentrate","Cartridge","","",691.5,24,NA,2.9,0.7,NA,8.2,15.2,5.8,4.7,9.8,712.548,3.5139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.8,0
"101","Daytrip Apricot Vanilla Gummies","CHM-DTAV2207","Edible","Gummy","","",2.1278,NA,NA,0.1915,NA,NA,0.034,0.068,NA,NA,NA,2.1278,0.1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4213,0
"102","Daytrip Blueberry Hibiscus Gummies","CHM-DTBH2207","Edible","Gummy","","",2.0087,NA,NA,0.1919,NA,NA,0.0397,0.0596,NA,NA,NA,2.0087,0.1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2999,0
"103","Daytrip Strawberry Lemonade Gummies","CHM-DTSL2207","Edible","Gummy","","",1.0187,NA,NA,0.9682,NA,NA,NA,NA,NA,NA,NA,1.0187,0.9682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9869,0
"104","DNT-Label QC","Chemistry. Dog Named Tsu Cart Label QC","Concentrate","Cartridge","","",186.8,42.7,NA,303.8,246.8,NA,2,6.7,7.7,18.1,7.7,224.248,520.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,822.3,0
"105","Doc's OG THC Tincture 30 mL","CFDOC210920-TNT","Edible","Tincture","Doc's OG ","",30.365,1.038,NA,NA,NA,NA,0.292,0.242,0.161,NA,0.116,31.2753,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.214,0
"106","Doc's OG THC Tincture 30 mL","CFDOC210427-TNT","Edible","Tincture","Doc's OG ","Hybrid",31.661,1.011,NA,NA,NA,NA,0.227,0.158,0.145,0.145,NA,32.5476,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.347,0
"107","Doc's OG THC Tincture 30 mL","CFDOC210205-TNT","Edible","Tincture","Doc's OG ","Indica",30.153,1.167,NA,NA,NA,NA,0.24,0.171,0.183,NA,0.1,31.1765,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.014,0
"108","Dog Named Tsu 500 mg Cartridge","MGDNT20721","Concentrate","Cartridge","Dog Named Tsu","CBD",151.12,37.593,NA,321.858,243.68,11.072,14.804,6.161,7.223,14.376,8.677,184.089,535.565,0.2115,NA,0.15703,0.0047,0.0102,0.01294,NA,NA,0.0015,0.0153,0.054,NA,0.0202,0.00304,0.0383,0.02688,NA,NA,NA,NA,0.0923,0.26889,0.01326,0.0058,0.2639,NA,0.17339,0.54243,816.564,1.91556
"109","Dog Named Tsu Cartridge","MGDNTCarts","Concentrate","Cartridge","","",193.7,45.6,NA,320.3,270.4,12.7,3.2,6.7,7.6,17.7,7.6,233.691,557.441,0.595,0.00205,0.201,0.0614,0.00853,0.0189,NA,NA,0.00801,0.0321,0.247,NA,0.0614,0.00645,0.0169,0.0266,0.00197,NA,NA,0.0107,0.158,NA,0.0229,0.00961,0.792,0.00794,0.353,0.942,885.5,3.58346
"110","Double OG Chem 500 mg Cartridge","RGOCH201116","Concentrate","Cartridge","Double OG Chem","Hybrid",466.475,291.553,NA,0.595,1.045,NA,4.1,3.988,3.277,11.054,5.028,722.167,1.51146,0.0139,NA,0.07209,0.0455,0.013,NA,NA,NA,0.01072,0.0032,NA,NA,0.1463,NA,0.07228,0.00222,0.00252,NA,NA,NA,0.3948,NA,0.00335,0.0352,0.24342,0.00568,1.11837,2.61174,787.115,4.79429
"111","Durban Biscotti 1 g Cartridge","SHFDBC220415-1G","Concentrate","Cartridge","Durban Biscotti","Sativa",442.133,286.773,NA,0.807,NA,NA,2.533,6.505,6.168,13.236,16.185,693.633,0.807,1.44308781,NA,0.069601444,0.084559459,0.002417501,0.005739454,NA,NA,0.003749918,0.069053566,0.899124523,NA,0.027863593,NA,0.074531509,0.056889397,NA,0.073405512,NA,NA,0.201202395,NA,0.035544902,0.013323955,0.32444608,0.012814254,0.865247949,2.797767038,774.34,7.060370259
"112","Electric Jah 1 g Cartridge","WLDJAH220415-1G","Concentrate","Cartridge","Electric Jah","CBD",236.557,NA,NA,508.612,27.087,NA,3.582,16.167,12.746,NA,3.494,236.557,532.367,0.117561241,0.040983722,0.214579803,NA,0.019638299,0.00905997,NA,NA,0.004930108,0.010786854,0.070435403,NA,0.025701812,0.070153861,0.156080447,0.017824461,NA,NA,NA,0.06046016,0.430669601,NA,0.007025794,0.006493282,2.053767962,0.014703021,0.285905388,0.923079465,808.245,4.539840654
"113","Electric Jah 1 g Cartridge","WLDJAH210907","Concentrate","Cartridge","Electric Jah","CBD",152.417,83.644,NA,231.582,333.427,NA,1.586,7.461,5.691,15.708,17.239,225.773,523.997,0.1058,0.006816,0.53665,0.0588,0.0207,0.01024,NA,NA,0.0039,0.0125,0.115,NA,0.0389,0.04653,0.14111,0.0116,NA,NA,NA,0.00998,0.4933,NA,0.00771,0.0057,2.82181,0.00269,0.29194,1.05714,848.755,5.798816
"114","Electric Jah 500 mg Cartridge","WLDJAH220415-0.5G","Concentrate","Cartridge","Electric Jah","CBD",239.369,NA,NA,509.79,26.773,NA,3.596,16.441,12.759,2.583,3.654,239.369,533.27,0.093474947,0.037673569,0.167554778,NA,0.011594434,0.00751781,NA,NA,0.004746428,0.007153453,0.051128459,NA,0.021912028,0.064156246,0.135277289,0.014135143,NA,NA,NA,0.05514493,0.315223269,NA,0.005148546,0.005900666,1.49501524,0.015010928,0.237666537,0.762320297,814.965,3.507754997
"115","Electric Jah 500 mg Cartridge","WLDJAH210924-0.5G","Concentrate","Cartridge","Electric Jah","",148.217,77.785,NA,225.078,327.138,NA,1.903,8.2,5.769,15.66,16.153,216.434,511.978,0.0847,0.005745,0.39446,0.0714,0.0158,0.01002,NA,NA,0.00327,0.0096,0.088,NA,0.0318,0.04052,0.12875,0.00898,NA,NA,NA,0.00934,0.387,NA,0.00572,0.0046,2.24881,0.00549,0.26352,0.92571,825.903,4.743235
"116","Electric Jah 500 mg Cartridge","WLDJAH210709","Concentrate","Cartridge","Electric Jah","CBD",153.471,85.183,NA,242.029,348.575,NA,1.937,7.834,6.145,17.45,16.696,228.176,547.729,0.1118,0.002276,0.45804,0.0216,0.0378,0.01043,NA,NA,0.00236,0.0215,0.091,NA,0.0147,0.03393,0.08822,0.02601,NA,NA,NA,NA,0.3735,0.23874,0.00986,0.0054,2.38209,NA,0.25587,0.88014,879.32,5.065266
"117","Electric Jah 500 mg Cartridge","WLDJAH210209","Concentrate","Cartridge","Electric Jah","CBD",146.599,78.844,NA,228.633,337.892,NA,1.412,7.819,6.213,18.979,15.526,215.745,524.964,0.1067,0.00649,0.64165,0.1204,0.0244,0.00965,NA,NA,0.00303,0.0127,0.12,NA,0.0299,0.02993,0.10175,0.0111,NA,NA,NA,0.01168,0.4789,NA,0.00765,0.0049,3.06149,0.00254,0.27713,0.96322,841.917,6.02521
"118","Electric Jah Cartridge","5CFAEBAFED940","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"119","Fatso 1 g Cartridge","ESFAT211018-1G","Concentrate","Cartridge","Fatso","",661.937,123.744,NA,NA,NA,NA,3.646,3.566,2.516,3.41,4.054,770.46,0,0.0228,NA,0.07935,0.0634,0.0188,NA,NA,NA,0.00772,0.0069,NA,NA,0.2404,NA,0.04137,0.0018,NA,0.0018,NA,NA,0.7357,NA,0.00235,0.0126,0.29201,0.01056,1.04028,2.88926,802.873,5.4671
"120","Forbidden Fruit 500 mg Cartridge","MMFBF201103","Concentrate","Cartridge","Forbidden Fruit","Indica",701.638,114.239,NA,1.817,0.999,NA,3.968,0.837,3.34,6.789,1.633,801.826,2.69312,0.0061,0.003456,0.03991,0.0142,0.0079,NA,NA,NA,NA,0.0034,0.009,NA,0.1666,0.00662,0.00155,NA,NA,NA,NA,NA,0.353,NA,0.00141,0.0131,0.5798,0.0067,0.457,1.019,835.26,2.688746
"121","Forbidden Fruit Pod","MMFBF190918-U","Concentrate","Cartridge","","",683.237,103.41,NA,1.389,0.739,NA,3.557,0.904,3.112,6.19,1.403,773.928,2.0371,0.00485,NA,0.0377,0.032,0.00745,NA,NA,NA,NA,0.00364,NA,NA,0.211,NA,NA,NA,NA,NA,NA,NA,0.404,NA,NA,0.00434,0.614,NA,0.544,1.22,803.941,3.08298
"122","Forbidden Fruit Uno Pod Vape Cartridge","MMFBF190918","Concentrate","Cartridge","","",628.95,121.142,NA,2.171,1.261,NA,2.219,2.357,3.361,7.245,1.966,735.192,3.2769,0.00768,NA,0.0351,0.0359,0.0108,NA,NA,NA,0.00173,0.00584,0.0153,NA,0.197,NA,NA,0.00182,NA,NA,NA,0.00303,0.386,NA,0.00191,0.00677,0.629,NA,0.504,1.12,770.672,2.96188
"123","Gas & Roses Live Drip Diamonds 1 g","MGGNR210608-DIA","Concentrate","Crystalline","Gas & Roses","",175.205,797.127,NA,12.712,1.893,NA,1.92,1.946,1.174,0.931,1.733,874.285,14.3722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,994.641,0
